idx,transcript,audio length,filename
0,i fence squeezed a pimple and i broke open only to skager and now looked like it is infected,8.789375,1249120_29289135_94207845.wav
1,when i remember how i got down,2.6666875,1249120_27392644_26489438.wav
2,the janisaries,2.8160000000000003,1249120_44093933_25087031.wav
3,my fares or broken out with impose,3.7546875,1249120_44093933_41287260.wav
4,after playing tennis i had the pawful sensation close to my neck,5.973375,1249120_43856216_26401421.wav
5,i have very vision after i used a wrong madison,4.3946875,1249120_15965551_20749336.wav
6,i can't stand up as a town i have paid him a big that annoys,3.7546875,1249120_40401830_100008928.wav
7,i get tired too fast i can barely put on my clothes in the morning,4.565375,1249120_43825820_71713244.wav
8,and i gave out on that in the morning my doughty fired weak,5.2906875,1249120_39154234_86864446.wav
9,i think i have i did it when i carried about lumbersom the yard my lower paris killing me,6.229375,1249120_43951421_77209313.wav
10,i have he began since i turned to into your ,3.5839999999999996,1249120_41087148_64642234.wav
11,this band my joy i cannot be a man,5.888,1249120_43665783_20470197.wav
12,i still like him when in acting under a practisin an a funereal and my shoulder,6.3146875,1249120_39438102_51841903.wav
13,maisie clock at,3.4986875,1249120_42210938_47209496.wav
14,i feel depressed when i see my hair falling out,3.1579375,1249120_1853182_12144833.wav
15,when i eat a feastmaker,2.7306875,1249120_39740177_97741747.wav
16,of the walking i had some pain under my foot,3.4986875,1249120_39154234_40195533.wav
17,i had into pain and gates we aid the in space forestay,5.376,1249120_43855932_65418943.wav
18,my past few like they are tight as not and of troy,4.736875,1249120_28006404_96601955.wav
19,my shoulder heart went a dread something above my head,4.352,1249120_43402738_101507244.wav
20,i i the legs something is screening,3.4986875,1249120_41087148_47322319.wav
21,their pen in my foot,4.096,1249120_43918153_16013952.wav
22,i been beaming when i had to take and followed by berdentein,6.6560000000000015,1249120_43604449_95204963.wav
23,a gunny finger opening a can it on stumbling and the wound is gaping and open,7.3375625,1249120_43612961_58512203.wav
24,when the morning made the animal,2.9866875,1249120_39154234_59805958.wav
25,my room furutan,2.8160000000000003,1249120_44101988_79235312.wav
26,i have a pain in my joint,2.8160000000000003,1249120_35408915_74183874.wav
27,i have a dolly on my head,2.9013750000000003,1249120_35832653_60079807.wav
28,i got the voice last year and i just kissed up to the line of her how to get revenge on my ex husband,6.3146875,1249120_35408915_65493600.wav
29,i am always cold even when i am wearing layes,5.888,1249120_38042052_100833333.wav
30,my need doesn't want to bend well,4.5226875,1249120_33905644_62049705.wav
31,i have an age when showing,3.7546875,1249120_43758322_14276509.wav
32,every time i looked to left i feel a sharp pain in my neck,5.8514375,1249120_29672643_40240425.wav
33,when they send up a deal like an gone to full down enemy,4.949375,1249120_21665495_14674033.wav
34,honest the easier alienations plans ,5.461375,1249120_39438102_106783239.wav
35,we sore isn't healing well and intently this for toys,8.789375,1249120_41956733_57938564.wav
36,i hope willie you have made my intent,4.551125,1249120_29713479_39617116.wav
37,i don't you see report,2.3040000000000003,1249120_31349958_55649652.wav
38,i redecorate,2.3040000000000003,1249120_43898158_62849522.wav
39,my dog now i betake and now her hand is so placed and soon and the wounded within the ice,10.837375,1249120_42557795_10643792.wav
40,i hardly have enough strength to get up,3.84,1249120_41841195_54188171.wav
41,i am indeed for tremenhere hair for,4.365375,1249120_43577102_98626155.wav
42,riding on a teleferica and spring at his,5.8514375,1249120_40725179_24514314.wav
43,and now cut my finger because of playing a put ball and i too a laparelle crane but it does not help,8.704,1249120_38548574_82754775.wav
44,i feel increased part rate with prick,4.179625,1249120_44093303_28714152.wav
45,i can't get a girl friend because of my army,3.2426875,1249120_35408915_105294498.wav
46,i feel pain in my neck while i am working,2.9866875,1249120_35350617_11730752.wav
47,when i was young i had that injury for a part it may be,6.912000000000001,1249120_43758322_45008121.wav
48,there is so much pain when i moved my arm,2.7306875,1249120_18172663_15515265.wav
49,i have penfuls in patches along with a lot of red is on my face,6.0586875,1249120_38548574_31841221.wav
50,i do my adopted,4.949375,1249120_35444693_84729096.wav
51,night yet had and it wore when i saw to my yet his very bed for and dying nor has it ten,9.557375,1249120_40184183_39648388.wav
52,so we denationalisation so,3.2426875,1249120_41336418_97229139.wav
53,i called out when i smell perfume what is wrong with my lungs,4.6080000000000005,1249120_43825820_109122878.wav
54,my head heart and a lot presentation in misfit i then lost sight in my eye,6.5706875,1249120_39154234_24110459.wav
55,my hair is falling out after i take a shall,3.0650625,1249120_2171654_19438090.wav
56,i have a mental suffering,2.133375,1249120_13842059_80785413.wav
57,when he bent a by go a shooting pain on abe,3.072,1249120_40401830_72697096.wav
58,i'm not having well i have a problem with my ear,3.84,1249120_42554554_86162662.wav
59,my daughter was beat by heat and now her hand be so red swelling and the mines would inraged,9.380875,1249120_20518958_28975888.wav
60,my hair is falling out after i take a share,2.8160000000000003,1249120_40401830_12654689.wav
61,and i am in it and racketing of the empty post,5.5466875,1249120_42557795_43592719.wav
62,it is that of a mister ware to day the pain is to be and a berg,8.1066875,1249120_43172391_66808089.wav
63,i have a man on my ten,2.9866875,1249120_43604449_87977045.wav
64,i began in my new,1.877375,1249120_43453425_30468991.wav
65,an injured by gain place for,3.1579375,1249120_30766630_45836275.wav
66,my long still heavy like their filled with new code,4.2725,1249120_30766630_99654047.wav
